省份,累积确诊,累积治愈,现有确诊,新增确诊,累积死亡
西藏,1,1,0,0,0
澳门,189,83,106,17,0
青海,147,147,0,0,0
台湾,3686338,13742,3666148,44417,6448
香港,337306,63798,264109,364,9399
贵州,185,183,0,0,2
吉林,40295,40290,0,0,5
新疆,1008,1005,0,0,3
宁夏,122,122,0,0,0
内蒙古,2097,2038,58,0,1
甘肃,682,679,1,0,2
天津,2008,1985,20,0,3
山西,423,422,1,0,0
辽宁,1718,1714,2,0,2
黑龙江,2988,2974,1,0,13
海南,288,282,0,0,6
河北,2007,1999,1,0,7
陕西,3329,3312,14,0,3
云南,2174,2156,16,0,2
广西,1649,1647,0,0,2
福建,3422,3374,47,4,1
上海,63240,62560,85,1,595
北京,3680,3625,46,1,9
江苏,2247,2238,9,2,0
四川,2374,2355,16,1,3
山东,2751,2730,14,2,7
江西,1389,1382,6,3,1
重庆,732,715,11,3,6
安徽,1065,1059,0,0,6
湖南,1401,1395,2,0,4
河南,3183,3161,0,0,22
广东,7443,7343,92,7,8
浙江,3155,3143,11,0,1
湖北,68402,63887,3,0,4512
